Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,amount,type,sector,framework,cpv
6496696B21,CONTRACT-START,CENTRALE,2016-06-30 00:00:00.000,Variant 5,5,160000.0,FORNITURE,ORDINARI,0,34
6496696B21,VARIANT,CENTRALE,2018-11-28 00:00:00.000,Variant 5,5,160000.0,FORNITURE,ORDINARI,0,34
6496696B21,CONTRACT-END,CENTRALE,2019-02-02 00:00:00.000,Variant 5,5,160000.0,FORNITURE,ORDINARI,0,34
6496696B21,VARIANT,CENTRALE,2019-02-15 00:00:00.000,Variant 5,5,160000.0,FORNITURE,ORDINARI,0,34
6498156FF4,CREATION,PROVINCIA AUTONOMA DI BOLZANO,2016-04-15 00:00:00.000,Variant 1,1,190000.0,FORNITURE,ORDINARI,0,30
6498156FF4,AWARD,PROVINCIA AUTONOMA DI BOLZANO,2016-05-17 00:00:00.000,Variant 1,1,190000.0,FORNITURE,ORDINARI,0,30
6498156FF4,CONTRACT-START,PROVINCIA AUTONOMA DI BOLZANO,2016-07-04 00:00:00.000,Variant 1,1,190000.0,FORNITURE,ORDINARI,0,30
6498156FF4,VARIANT,PROVINCIA AUTONOMA DI BOLZANO,2016-09-28 00:00:00.000,Variant 1,1,190000.0,FORNITURE,ORDINARI,0,30
6498156FF4,CONTRACT-END,PROVINCIA AUTONOMA DI BOLZANO,2016-10-06 00:00:00.000,Variant 1,1,190000.0,FORNITURE,ORDINARI,0,30
6498307C91,CREATION,MARCHE,2016-01-08 00:00:00.000,Variant 1,1,269180.0,FORNITURE,ORDINARI,1,9
6498307C91,AWARD,MARCHE,2016-01-08 00:00:00.000,Variant 1,1,269180.0,FORNITURE,ORDINARI,1,9
6498307C91,CONTRACT-START,MARCHE,2016-01-20 00:00:00.000,Variant 1,1,269180.0,FORNITURE,ORDINARI,1,9
6498307C91,VARIANT,MARCHE,2016-12-13 00:00:00.000,Variant 1,1,269180.0,FORNITURE,ORDINARI,1,9
6498307C91,CONTRACT-END,MARCHE,2017-02-28 00:00:00.000,Variant 1,1,269180.0,FORNITURE,ORDINARI,1,9
650148397D,CREATION,EMILIA ROMAGNA,2016-02-29 00:00:00.000,Variant 1,1,58534.5,FORNITURE,ORDINARI,1,39
650148397D,AWARD,EMILIA ROMAGNA,2016-02-29 00:00:00.000,Variant 1,1,58534.5,FORNITURE,ORDINARI,1,39
650148397D,CONTRACT-START,EMILIA ROMAGNA,2016-02-29 00:00:00.000,Variant 1,1,58534.5,FORNITURE,ORDINARI,1,39
650148397D,VARIANT,EMILIA ROMAGNA,2016-09-02 00:00:00.000,Variant 1,1,58534.5,FORNITURE,ORDINARI,1,39
650148397D,CONTRACT-END,EMILIA ROMAGNA,2017-06-30 00:00:00.000,Variant 1,1,58534.5,FORNITURE,ORDINARI,1,39
6502282CD7,CREATION,SICILIA,2016-01-08 00:00:00.000,Variant 1,1,45000.0,FORNITURE,ORDINARI,0,44
6502282CD7,AWARD,SICILIA,2016-03-31 00:00:00.000,Variant 1,1,45000.0,FORNITURE,ORDINARI,0,44
6502282CD7,CONTRACT-START,SICILIA,2016-03-31 00:00:00.000,Variant 1,1,45000.0,FORNITURE,ORDINARI,0,44
6502282CD7,VARIANT,SICILIA,2017-10-06 00:00:00.000,Variant 1,1,45000.0,FORNITURE,ORDINARI,0,44
6502282CD7,CONTRACT-END,SICILIA,2018-05-31 00:00:00.000,Variant 1,1,45000.0,FORNITURE,ORDINARI,0,44
6503070720,CREATION,VENETO,2016-01-07 00:00:00.000,Variant 4,4,186570.36,FORNITURE,ORDINARI,0,45
6503070720,AWARD,VENETO,2016-02-19 00:00:00.000,Variant 4,4,186570.36,FORNITURE,ORDINARI,0,45
6503070720,CONTRACT-START,VENETO,2016-08-24 00:00:00.000,Variant 4,4,186570.36,FORNITURE,ORDINARI,0,45
6503070720,SUSPENSION,VENETO,2016-11-10 00:00:00.000,Variant 4,4,186570.36,FORNITURE,ORDINARI,0,45
6503070720,VARIANT,VENETO,2016-12-28 00:00:00.000,Variant 4,4,186570.36,FORNITURE,ORDINARI,0,45
6503070720,REPRISE,VENETO,2017-02-20 00:00:00.000,Variant 4,4,186570.36,FORNITURE,ORDINARI,0,45
6503070720,CONTRACT-END,VENETO,2017-05-04 00:00:00.000,Variant 4,4,186570.36,FORNITURE,ORDINARI,0,45
6526374632,CREATION,EMILIA ROMAGNA,2016-03-25 00:00:00.000,Variant 4,4,54072.0,FORNITURE,ORDINARI,0,34
6526374632,AWARD,EMILIA ROMAGNA,2016-12-15 00:00:00.000,Variant 4,4,54072.0,FORNITURE,ORDINARI,0,34
6526374632,CONTRACT-START,EMILIA ROMAGNA,2017-01-19 00:00:00.000,Variant 4,4,54072.0,FORNITURE,ORDINARI,0,34
6526374632,SUSPENSION,EMILIA ROMAGNA,2017-02-28 00:00:00.000,Variant 4,4,54072.0,FORNITURE,ORDINARI,0,34
6526374632,VARIANT,EMILIA ROMAGNA,2017-04-10 00:00:00.000,Variant 4,4,54072.0,FORNITURE,ORDINARI,0,34
6526374632,REPRISE,EMILIA ROMAGNA,2017-05-08 00:00:00.000,Variant 4,4,54072.0,FORNITURE,ORDINARI,0,34
6526374632,CONTRACT-END,EMILIA ROMAGNA,2017-05-11 00:00:00.000,Variant 4,4,54072.0,FORNITURE,ORDINARI,0,34
6532209564,CREATION,CENTRALE,2016-01-04 00:00:00.000,Variant 72,72,7531233.15,FORNITURE,ORDINARI,0,48
6532209564,AWARD,CENTRALE,2016-05-10 00:00:00.000,Variant 72,72,7531233.15,FORNITURE,ORDINARI,0,48
6532209564,CONTRACT-START,CENTRALE,2016-06-30 00:00:00.000,Variant 72,72,7531233.15,FORNITURE,ORDINARI,0,48
6532209564,SUBCONTRACT,CENTRALE,2016-09-21 00:00:00.000,Variant 72,72,7531233.15,FORNITURE,ORDINARI,0,48
6532209564,STATUS,CENTRALE,2016-09-30 00:00:00.000,Variant 72,72,7531233.15,FORNITURE,ORDINARI,0,48
6532209564,STATUS,CENTRALE,2016-12-31 00:00:00.000,Variant 72,72,7531233.15,FORNITURE,ORDINARI,0,48
6532209564,STATUS,CENTRALE,2017-03-31 00:00:00.000,Variant 72,72,7531233.15,FORNITURE,ORDINARI,0,48
6532209564,STATUS,CENTRALE,2017-06-30 00:00:00.000,Variant 72,72,7531233.15,FORNITURE,ORDINARI,0,48
6532209564,STATUS,CENTRALE,2017-09-30 00:00:00.000,Variant 72,72,7531233.15,FORNITURE,ORDINARI,0,48
6532209564,SUBCONTRACT,CENTRALE,2017-11-23 00:00:00.000,Variant 72,72,7531233.15,FORNITURE,ORDINARI,0,48
6532209564,STATUS,CENTRALE,2017-12-31 00:00:00.000,Variant 72,72,7531233.15,FORNITURE,ORDINARI,0,48
6532209564,STATUS,CENTRALE,2018-03-31 00:00:00.000,Variant 72,72,7531233.15,FORNITURE,ORDINARI,0,48
6532209564,STATUS,CENTRALE,2018-06-30 00:00:00.000,Variant 72,72,7531233.15,FORNITURE,ORDINARI,0,48
6532209564,STATUS,CENTRALE,2018-09-30 00:00:00.000,Variant 72,72,7531233.15,FORNITURE,ORDINARI,0,48
6532209564,STATUS,CENTRALE,2018-12-31 00:00:00.000,Variant 72,72,7531233.15,FORNITURE,ORDINARI,0,48
6532209564,STATUS,CENTRALE,2019-03-31 00:00:00.000,Variant 72,72,7531233.15,FORNITURE,ORDINARI,0,48
6532209564,VARIANT,CENTRALE,2019-06-25 00:00:00.000,Variant 72,72,7531233.15,FORNITURE,ORDINARI,0,48
6532209564,STATUS,CENTRALE,2019-06-30 00:00:00.000,Variant 72,72,7531233.15,FORNITURE,ORDINARI,0,48
6532209564,STATUS,CENTRALE,2019-09-30 00:00:00.000,Variant 72,72,7531233.15,FORNITURE,ORDINARI,0,48
6532209564,CONTRACT-END,CENTRALE,2019-10-31 00:00:00.000,Variant 72,72,7531233.15,FORNITURE,ORDINARI,0,48
6532209564,STATUS,CENTRALE,2019-10-31 00:00:00.000,Variant 72,72,7531233.15,FORNITURE,ORDINARI,0,48
6540050BFB,CREATION,SARDEGNA,2016-01-13 00:00:00.000,Variant 1,1,81040.5,FORNITURE,ORDINARI,0,37
6540050BFB,AWARD,SARDEGNA,2016-06-16 00:00:00.000,Variant 1,1,81040.5,FORNITURE,ORDINARI,0,37
6540050BFB,CONTRACT-START,SARDEGNA,2016-06-16 00:00:00.000,Variant 1,1,81040.5,FORNITURE,ORDINARI,0,37
6540050BFB,VARIANT,SARDEGNA,2016-09-29 00:00:00.000,Variant 1,1,81040.5,FORNITURE,ORDINARI,0,37
6540050BFB,CONTRACT-END,SARDEGNA,2017-07-13 00:00:00.000,Variant 1,1,81040.5,FORNITURE,ORDINARI,0,37
6544129217,CREATION,CAMPANIA,2016-01-18 00:00:00.000,Variant 1,1,200000.0,FORNITURE,ORDINARI,0,34
6544129217,AWARD,CAMPANIA,2016-04-19 00:00:00.000,Variant 1,1,200000.0,FORNITURE,ORDINARI,0,34
6544129217,CONTRACT-START,CAMPANIA,2016-09-08 00:00:00.000,Variant 1,1,200000.0,FORNITURE,ORDINARI,0,34
6544129217,VARIANT,CAMPANIA,2017-01-25 00:00:00.000,Variant 1,1,200000.0,FORNITURE,ORDINARI,0,34
6544129217,CONTRACT-END,CAMPANIA,2017-07-20 00:00:00.000,Variant 1,1,200000.0,FORNITURE,ORDINARI,0,34
654595334D,CREATION,SARDEGNA,2016-04-13 00:00:00.000,Variant 14,14,40983.6,FORNITURE,ORDINARI,0,39
654595334D,AWARD,SARDEGNA,2016-06-07 00:00:00.000,Variant 14,14,40983.6,FORNITURE,ORDINARI,0,39
654595334D,VARIANT,SARDEGNA,2016-06-22 00:00:00.000,Variant 14,14,40983.6,FORNITURE,ORDINARI,0,39
654595334D,CONTRACT-START,SARDEGNA,2016-07-04 00:00:00.000,Variant 14,14,40983.6,FORNITURE,ORDINARI,0,39
654595334D,CONTRACT-END,SARDEGNA,2017-02-01 00:00:00.000,Variant 14,14,40983.6,FORNITURE,ORDINARI,0,39
654613055D,CREATION,CENTRALE,2016-01-14 00:00:00.000,Variant 73,73,1100000.0,FORNITURE,ORDINARI,0,38
654613055D,AWARD,CENTRALE,2016-05-05 00:00:00.000,Variant 73,73,1100000.0,FORNITURE,ORDINARI,0,38
654613055D,CONTRACT-START,CENTRALE,2016-09-29 00:00:00.000,Variant 73,73,1100000.0,FORNITURE,ORDINARI,0,38
654613055D,SUBCONTRACT,CENTRALE,2016-09-29 00:00:00.000,Variant 73,73,1100000.0,FORNITURE,ORDINARI,0,38
654613055D,STATUS,CENTRALE,2016-12-20 00:00:00.000,Variant 73,73,1100000.0,FORNITURE,ORDINARI,0,38
654613055D,VARIANT,CENTRALE,2017-03-01 00:00:00.000,Variant 73,73,1100000.0,FORNITURE,ORDINARI,0,38
654613055D,CONTRACT-END,CENTRALE,2017-03-18 00:00:00.000,Variant 73,73,1100000.0,FORNITURE,ORDINARI,0,38
6550408FAB,CREATION,EMILIA ROMAGNA,2016-01-26 00:00:00.000,Variant 1,1,140000.0,FORNITURE,ORDINARI,1,33
6550408FAB,AWARD,EMILIA ROMAGNA,2016-01-26 00:00:00.000,Variant 1,1,140000.0,FORNITURE,ORDINARI,1,33
6550408FAB,CONTRACT-START,EMILIA ROMAGNA,2016-03-21 00:00:00.000,Variant 1,1,140000.0,FORNITURE,ORDINARI,1,33
6550408FAB,VARIANT,EMILIA ROMAGNA,2017-02-01 00:00:00.000,Variant 1,1,140000.0,FORNITURE,ORDINARI,1,33
6550408FAB,CONTRACT-END,EMILIA ROMAGNA,2017-12-31 00:00:00.000,Variant 1,1,140000.0,FORNITURE,ORDINARI,1,33
6550416648,CREATION,EMILIA ROMAGNA,2016-01-26 00:00:00.000,Variant 1,1,136000.0,FORNITURE,ORDINARI,1,33
6550416648,AWARD,EMILIA ROMAGNA,2016-01-26 00:00:00.000,Variant 1,1,136000.0,FORNITURE,ORDINARI,1,33
6550416648,CONTRACT-START,EMILIA ROMAGNA,2016-03-21 00:00:00.000,Variant 1,1,136000.0,FORNITURE,ORDINARI,1,33
6550416648,VARIANT,EMILIA ROMAGNA,2017-02-01 00:00:00.000,Variant 1,1,136000.0,FORNITURE,ORDINARI,1,33
6550416648,CONTRACT-END,EMILIA ROMAGNA,2017-12-31 00:00:00.000,Variant 1,1,136000.0,FORNITURE,ORDINARI,1,33
6554284E3F,CREATION,EMILIA ROMAGNA,2016-01-14 00:00:00.000,Variant 2,2,300000.0,FORNITURE,ORDINARI,1,33
6554284E3F,AWARD,EMILIA ROMAGNA,2016-01-14 00:00:00.000,Variant 2,2,300000.0,FORNITURE,ORDINARI,1,33
6554284E3F,CONTRACT-START,EMILIA ROMAGNA,2016-01-21 00:00:00.000,Variant 2,2,300000.0,FORNITURE,ORDINARI,1,33
6554284E3F,CONTRACT-END,EMILIA ROMAGNA,2017-11-30 00:00:00.000,Variant 2,2,300000.0,FORNITURE,ORDINARI,1,33
6554284E3F,VARIANT,EMILIA ROMAGNA,2018-03-02 00:00:00.000,Variant 2,2,300000.0,FORNITURE,ORDINARI,1,33
65607641BA,CREATION,MOLISE,2016-08-29 00:00:00.000,Variant 74,74,856400.0,FORNITURE,ORDINARI,0,24
65607641BA,AWARD,MOLISE,2016-11-11 00:00:00.000,Variant 74,74,856400.0,FORNITURE,ORDINARI,0,24
65607641BA,CONTRACT-START,MOLISE,2017-01-17 00:00:00.000,Variant 74,74,856400.0,FORNITURE,ORDINARI,0,24
65607641BA,STATUS,MOLISE,2017-05-11 00:00:00.000,Variant 74,74,856400.0,FORNITURE,ORDINARI,0,24
65607641BA,STATUS,MOLISE,2017-08-23 00:00:00.000,Variant 74,74,856400.0,FORNITURE,ORDINARI,0,24
65607641BA,STATUS,MOLISE,2017-11-30 00:00:00.000,Variant 74,74,856400.0,FORNITURE,ORDINARI,0,24
65607641BA,STATUS,MOLISE,2018-02-06 00:00:00.000,Variant 74,74,856400.0,FORNITURE,ORDINARI,0,24
65607641BA,STATUS,MOLISE,2018-04-30 00:00:00.000,Variant 74,74,856400.0,FORNITURE,ORDINARI,0,24
65607641BA,STATUS,MOLISE,2018-07-31 00:00:00.000,Variant 74,74,856400.0,FORNITURE,ORDINARI,0,24
65607641BA,VARIANT,MOLISE,2018-11-18 00:00:00.000,Variant 74,74,856400.0,FORNITURE,ORDINARI,0,24
65607641BA,STATUS,MOLISE,2018-11-29 00:00:00.000,Variant 74,74,856400.0,FORNITURE,ORDINARI,0,24
65607641BA,CONTRACT-END,MOLISE,2019-01-22 00:00:00.000,Variant 74,74,856400.0,FORNITURE,ORDINARI,0,24
65607641BA,STATUS,MOLISE,2019-02-14 00:00:00.000,Variant 74,74,856400.0,FORNITURE,ORDINARI,0,24
6561106BF1,CREATION,PROVINCIA AUTONOMA DI BOLZANO,2016-02-09 00:00:00.000,Variant 26,26,200000.0,FORNITURE,ORDINARI,1,65
6561106BF1,AWARD,PROVINCIA AUTONOMA DI BOLZANO,2016-02-09 00:00:00.000,Variant 26,26,200000.0,FORNITURE,ORDINARI,1,65
6561106BF1,CONTRACT-START,PROVINCIA AUTONOMA DI BOLZANO,2016-02-09 00:00:00.000,Variant 26,26,200000.0,FORNITURE,ORDINARI,1,65
6561106BF1,STATUS,PROVINCIA AUTONOMA DI BOLZANO,2016-10-31 00:00:00.000,Variant 26,26,200000.0,FORNITURE,ORDINARI,1,65
6561106BF1,STATUS,PROVINCIA AUTONOMA DI BOLZANO,2017-03-30 00:00:00.000,Variant 26,26,200000.0,FORNITURE,ORDINARI,1,65
6561106BF1,CONTRACT-END,PROVINCIA AUTONOMA DI BOLZANO,2017-04-30 00:00:00.000,Variant 26,26,200000.0,FORNITURE,ORDINARI,1,65
6561106BF1,STATUS,PROVINCIA AUTONOMA DI BOLZANO,2017-04-30 00:00:00.000,Variant 26,26,200000.0,FORNITURE,ORDINARI,1,65
6561106BF1,VARIANT,PROVINCIA AUTONOMA DI BOLZANO,2017-04-30 00:00:00.000,Variant 26,26,200000.0,FORNITURE,ORDINARI,1,65
6561164BCE,CREATION,EMILIA ROMAGNA,2016-01-21 00:00:00.000,Variant 1,1,125631.0,FORNITURE,ORDINARI,1,33
6561164BCE,AWARD,EMILIA ROMAGNA,2016-01-21 00:00:00.000,Variant 1,1,125631.0,FORNITURE,ORDINARI,1,33
6561164BCE,CONTRACT-START,EMILIA ROMAGNA,2016-03-30 00:00:00.000,Variant 1,1,125631.0,FORNITURE,ORDINARI,1,33
6561164BCE,VARIANT,EMILIA ROMAGNA,2018-02-23 00:00:00.000,Variant 1,1,125631.0,FORNITURE,ORDINARI,1,33
6561164BCE,CONTRACT-END,EMILIA ROMAGNA,2018-06-30 00:00:00.000,Variant 1,1,125631.0,FORNITURE,ORDINARI,1,33
656117333E,CREATION,EMILIA ROMAGNA,2016-01-21 00:00:00.000,Variant 47,47,1994309.12,FORNITURE,ORDINARI,1,33
656117333E,AWARD,EMILIA ROMAGNA,2016-01-21 00:00:00.000,Variant 47,47,1994309.12,FORNITURE,ORDINARI,1,33
656117333E,CONTRACT-START,EMILIA ROMAGNA,2016-03-30 00:00:00.000,Variant 47,47,1994309.12,FORNITURE,ORDINARI,1,33
656117333E,STATUS,EMILIA ROMAGNA,2016-06-30 00:00:00.000,Variant 47,47,1994309.12,FORNITURE,ORDINARI,1,33
656117333E,STATUS,EMILIA ROMAGNA,2016-12-31 00:00:00.000,Variant 47,47,1994309.12,FORNITURE,ORDINARI,1,33
656117333E,STATUS,EMILIA ROMAGNA,2017-06-30 00:00:00.000,Variant 47,47,1994309.12,FORNITURE,ORDINARI,1,33
656117333E,VARIANT,EMILIA ROMAGNA,2018-02-23 00:00:00.000,Variant 47,47,1994309.12,FORNITURE,ORDINARI,1,33
656117333E,CONTRACT-END,EMILIA ROMAGNA,2018-06-30 00:00:00.000,Variant 47,47,1994309.12,FORNITURE,ORDINARI,1,33
656117333E,STATUS,EMILIA ROMAGNA,2018-06-30 00:00:00.000,Variant 47,47,1994309.12,FORNITURE,ORDINARI,1,33
6561183B7C,CREATION,EMILIA ROMAGNA,2016-01-21 00:00:00.000,Variant 1,1,203525.89,FORNITURE,ORDINARI,1,33
6561183B7C,AWARD,EMILIA ROMAGNA,2016-01-21 00:00:00.000,Variant 1,1,203525.89,FORNITURE,ORDINARI,1,33
6561183B7C,CONTRACT-START,EMILIA ROMAGNA,2016-03-30 00:00:00.000,Variant 1,1,203525.89,FORNITURE,ORDINARI,1,33
6561183B7C,VARIANT,EMILIA ROMAGNA,2018-02-23 00:00:00.000,Variant 1,1,203525.89,FORNITURE,ORDINARI,1,33
6561183B7C,CONTRACT-END,EMILIA ROMAGNA,2018-06-30 00:00:00.000,Variant 1,1,203525.89,FORNITURE,ORDINARI,1,33
65672076A7,CREATION,CENTRALE,2016-01-29 00:00:00.000,Variant 75,75,11211660.3,FORNITURE,ORDINARI,0,48
65672076A7,AWARD,CENTRALE,2016-05-30 00:00:00.000,Variant 75,75,11211660.3,FORNITURE,ORDINARI,0,48
65672076A7,CONTRACT-START,CENTRALE,2016-05-30 00:00:00.000,Variant 75,75,11211660.3,FORNITURE,ORDINARI,0,48
65672076A7,STATUS,CENTRALE,2016-12-31 00:00:00.000,Variant 75,75,11211660.3,FORNITURE,ORDINARI,0,48
65672076A7,STATUS,CENTRALE,2017-06-30 00:00:00.000,Variant 75,75,11211660.3,FORNITURE,ORDINARI,0,48
65672076A7,STATUS,CENTRALE,2017-12-31 00:00:00.000,Variant 75,75,11211660.3,FORNITURE,ORDINARI,0,48
65672076A7,STATUS,CENTRALE,2018-06-20 00:00:00.000,Variant 75,75,11211660.3,FORNITURE,ORDINARI,0,48
65672076A7,VARIANT,CENTRALE,2018-10-09 00:00:00.000,Variant 75,75,11211660.3,FORNITURE,ORDINARI,0,48
65672076A7,STATUS,CENTRALE,2019-02-05 00:00:00.000,Variant 75,75,11211660.3,FORNITURE,ORDINARI,0,48
65672076A7,CONTRACT-END,CENTRALE,2019-05-29 00:00:00.000,Variant 75,75,11211660.3,FORNITURE,ORDINARI,0,48
65672076A7,STATUS,CENTRALE,2019-06-18 00:00:00.000,Variant 75,75,11211660.3,FORNITURE,ORDINARI,0,48
65672076A7,STATUS,CENTRALE,2019-09-23 00:00:00.000,Variant 75,75,11211660.3,FORNITURE,ORDINARI,0,48
6568067C57,CREATION,SARDEGNA,2016-01-26 00:00:00.000,Variant 19,19,51900.0,FORNITURE,ORDINARI,0,44
6568067C57,AWARD,SARDEGNA,2016-03-04 00:00:00.000,Variant 19,19,51900.0,FORNITURE,ORDINARI,0,44
6568067C57,CONTRACT-START,SARDEGNA,2016-04-18 00:00:00.000,Variant 19,19,51900.0,FORNITURE,ORDINARI,0,44
6568067C57,VARIANT,SARDEGNA,2016-05-30 00:00:00.000,Variant 19,19,51900.0,FORNITURE,ORDINARI,0,44
6568067C57,SUSPENSION,SARDEGNA,2016-07-18 00:00:00.000,Variant 19,19,51900.0,FORNITURE,ORDINARI,0,44
6568067C57,REPRISE,SARDEGNA,2016-08-02 00:00:00.000,Variant 19,19,51900.0,FORNITURE,ORDINARI,0,44
6568067C57,CONTRACT-END,SARDEGNA,2016-08-12 00:00:00.000,Variant 19,19,51900.0,FORNITURE,ORDINARI,0,44
6568879A6D,CREATION,EMILIA ROMAGNA,2016-01-27 00:00:00.000,Variant 3,3,50535.94,FORNITURE,ORDINARI,0,33
6568879A6D,AWARD,EMILIA ROMAGNA,2016-05-05 00:00:00.000,Variant 3,3,50535.94,FORNITURE,ORDINARI,0,33
6568879A6D,CONTRACT-START,EMILIA ROMAGNA,2016-05-31 00:00:00.000,Variant 3,3,50535.94,FORNITURE,ORDINARI,0,33
6568879A6D,VARIANT,EMILIA ROMAGNA,2017-05-08 00:00:00.000,Variant 3,3,50535.94,FORNITURE,ORDINARI,0,33
6568879A6D,VARIANT,EMILIA ROMAGNA,2017-11-11 00:00:00.000,Variant 3,3,50535.94,FORNITURE,ORDINARI,0,33
6568879A6D,CONTRACT-END,EMILIA ROMAGNA,2017-12-31 00:00:00.000,Variant 3,3,50535.94,FORNITURE,ORDINARI,0,33
6568924F8E,CREATION,EMILIA ROMAGNA,2016-01-27 00:00:00.000,Variant 1,1,79445.15,FORNITURE,ORDINARI,0,33
6568924F8E,AWARD,EMILIA ROMAGNA,2016-05-05 00:00:00.000,Variant 1,1,79445.15,FORNITURE,ORDINARI,0,33
6568924F8E,CONTRACT-START,EMILIA ROMAGNA,2016-05-25 00:00:00.000,Variant 1,1,79445.15,FORNITURE,ORDINARI,0,33
6568924F8E,VARIANT,EMILIA ROMAGNA,2017-05-08 00:00:00.000,Variant 1,1,79445.15,FORNITURE,ORDINARI,0,33
6568924F8E,CONTRACT-END,EMILIA ROMAGNA,2017-06-30 00:00:00.000,Variant 1,1,79445.15,FORNITURE,ORDINARI,0,33
6568944014,CREATION,EMILIA ROMAGNA,2016-01-27 00:00:00.000,Variant 3,3,60971.0,FORNITURE,ORDINARI,0,33
6568944014,AWARD,EMILIA ROMAGNA,2016-05-05 00:00:00.000,Variant 3,3,60971.0,FORNITURE,ORDINARI,0,33
6568944014,CONTRACT-START,EMILIA ROMAGNA,2016-05-25 00:00:00.000,Variant 3,3,60971.0,FORNITURE,ORDINARI,0,33
6568944014,VARIANT,EMILIA ROMAGNA,2017-05-08 00:00:00.000,Variant 3,3,60971.0,FORNITURE,ORDINARI,0,33
6568944014,VARIANT,EMILIA ROMAGNA,2017-11-11 00:00:00.000,Variant 3,3,60971.0,FORNITURE,ORDINARI,0,33
6568944014,CONTRACT-END,EMILIA ROMAGNA,2017-12-31 00:00:00.000,Variant 3,3,60971.0,FORNITURE,ORDINARI,0,33
6568984116,CREATION,EMILIA ROMAGNA,2016-01-27 00:00:00.000,Variant 3,3,105769.23,FORNITURE,ORDINARI,0,33
6568984116,AWARD,EMILIA ROMAGNA,2016-05-05 00:00:00.000,Variant 3,3,105769.23,FORNITURE,ORDINARI,0,33
6568984116,CONTRACT-START,EMILIA ROMAGNA,2016-05-25 00:00:00.000,Variant 3,3,105769.23,FORNITURE,ORDINARI,0,33
6568984116,VARIANT,EMILIA ROMAGNA,2017-05-08 00:00:00.000,Variant 3,3,105769.23,FORNITURE,ORDINARI,0,33
6568984116,VARIANT,EMILIA ROMAGNA,2017-11-11 00:00:00.000,Variant 3,3,105769.23,FORNITURE,ORDINARI,0,33
6568984116,CONTRACT-END,EMILIA ROMAGNA,2017-12-31 00:00:00.000,Variant 3,3,105769.23,FORNITURE,ORDINARI,0,33
